index,account,company_name,company_address,company_ph,company_primary_domain,company_revenue,operating_income,net_income,net_income_trend,total_assets,retained_earnings,employees_list
15,HISCOX INSURANCE COMPANY LIMITED,Hiscox Limited,"['4th Floor, Wessex House, 45 Reid Street', 'HM 12', 'Bermuda']",['+1.441.2788300'],https://www.hiscoxgroup.com/,"['2,999.90']",['(268.20)'],(293.40),"['(293.40)', '48.90', '117.90']","13,856.20","1,884.40","{0: {'first_name': ['Robert'], 'middle_name': ['Simon'], 'last_name': ['Childs'], 'designation': 'Non-Executive Chairman of the Board'}, 1: {'first_name': ['Bronislaw'], 'middle_name': ['Edmund'], 'last_name': ['Masojada'], 'designation': 'Group Chief Executive, Executive Director'}, 2: {'first_name': ['Hamayou'], 'middle_name': ['Akbar'], 'last_name': ['Hussain'], 'designation': 'Group Chief Financial Officer, Executive Director'}, 3: {'first_name': ['Stephane'], 'middle_name': [], 'last_name': ['Flaquet'], 'designation': 'Chief Executive Officer, Hiscox Europe'}, 4: {'first_name': ['Steve'], 'middle_name': [], 'last_name': ['Langan'], 'designation': 'Chief Executive Officer - Hiscox USA'}, 5: {'first_name': ['Kate'], 'middle_name': [], 'last_name': ['Markham'], 'designation': 'Chief Executive Officer - Hiscox London Market'}, 6: {'first_name': ['Kathleen'], 'middle_name': [], 'last_name': ['Reardon'], 'designation': 'Chief Executive Officer, Hiscox Re & ILS'}, 7: {'first_name': ['Bob'], 'middle_name': [], 'last_name': ['Thaker'], 'designation': 'Chief Executive Officer - Hiscox UK'}, 8: {'first_name': ['Benjamin'], 'middle_name': [], 'last_name': ['Walter'], 'designation': 'Chief Executive Officer - Hiscox Retail'}, 9: {'first_name': ['Amanda'], 'middle_name': [], 'last_name': ['Brown'], 'designation': 'Chief Human Resources Officer'}, 10: {'first_name': ['James'], 'middle_name': ['David'], 'last_name': ['Millard'], 'designation': 'Chief Investment Officer'}, 11: {'first_name': ['Ian'], 'middle_name': [], 'last_name': ['Penny'], 'designation': 'Chief Information Officer'}, 12: {'first_name': ['Hanna'], 'middle_name': [], 'last_name': ['Kam'], 'designation': 'Group Chief Risk Officer'}, 13: {'first_name': ['Marc'], 'middle_name': [], 'last_name': ['Wetherhill'], 'designation': 'Group Company Secretary and General Counsel'}, 14: {'first_name': ['Joanne'], 'middle_name': [], 'last_name': ['Musselle'], 'designation': 'Executive Director, Group Chief Underwriting Officer'}, 15: {'first_name': ['Grace'], 'middle_name': [], 'last_name': ['Hanson'], 'designation': 'Chief Claims Officer'}, 16: {'first_name': ['Paul'], 'middle_name': [], 'last_name': ['Lawrence'], 'designation': 'Chief Underwriting Officer, Hiscox London Market and Active Underwriter for Syndicate 33'}, 17: {'first_name': ['Caroline'], 'middle_name': [], 'last_name': ['Foulger'], 'designation': 'Non-Executive Independent Director'}, 18: {'first_name': ['Michael'], 'middle_name': ['J.'], 'last_name': ['Goodwin'], 'designation': 'Non-Executive Independent Director'}, 19: {'first_name': ['Thomas'], 'middle_name': [], 'last_name': ['Hurlimann'], 'designation': 'Non-Executive Independent Director'}, 20: {'first_name': ['Colin'], 'middle_name': ['Denis'], 'last_name': ['Keogh'], 'designation': 'Senior Non-Executive Independent Director'}, 21: {'first_name': ['Anne'], 'middle_name': [], 'last_name': ['MacDonald'], 'designation': 'Non-Executive Independent Director'}, 22: {'first_name': ['Constantinos'], 'middle_name': [], 'last_name': ['Miranthis'], 'designation': 'Non-Executive Independent Director'}, 23: {'first_name': ['Lynn'], 'middle_name': ['R.'], 'last_name': ['Pike'], 'designation': 'Non-Executive Independent Director'}}"
16,SAGE (UK) LTD,The Sage Group plc,"['North Park Avenue', 'NE13 9AA', 'United Kingdom']",['+44.191.2943000'],http://www.sage.com,"['1,903.00']",['404.00'],310.00,"['310.00', '266.00', '295.00']","3,715.00",969.00,"{0: {'first_name': ['Donald'], 'middle_name': ['H.'], 'last_name': ['Brydon'], 'designation': 'Non-Executive Chairman of the Board'}, 1: {'first_name': ['Stephen'], 'middle_name': [], 'last_name': ['Hare'], 'designation': 'Chief Executive Officer, Chief Operating Officer, Executive Director'}, 2: {'first_name': ['Jonathan'], 'middle_name': ['A.', 'G.'], 'last_name': ['Howell'], 'designation': 'Chief Financial Officer, Executive Director'}, 3: {'first_name': ['Rob'], 'middle_name': [], 'last_name': ['Reid'], 'designation': 'Chairman Mid-Market Solutions'}, 4: {'first_name': ['Lee'], 'middle_name': [], 'last_name': ['Perkins'], 'designation': 'Chief Operating Officer'}, 5: {'first_name': ['Amanda'], 'middle_name': [], 'last_name': ['Cusdin'], 'designation': 'Chief People Officer'}, 6: {'first_name': ['Aaron'], 'middle_name': [], 'last_name': ['Harris'], 'designation': 'Chief Technology Officer'}, 7: {'first_name': ['Cath'], 'middle_name': ['Jane'], 'last_name': ['Keers'], 'designation': 'Chief Marketing Officer'}, 8: {'first_name': ['Victoria'], 'middle_name': [], 'last_name': ['Bradin'], 'designation': 'General Counsel, Company Secretary'}, 9: {'first_name': ['Derk'], 'middle_name': [], 'last_name': ['Bleeker'], 'designation': 'Chief Corporate Development Officer'}, 10: {'first_name': ['Sue'], 'middle_name': [], 'last_name': ['Goble'], 'designation': 'Chief Customer Success Officer'}, 11: {'first_name': ['Keith'], 'middle_name': [], 'last_name': ['Robinson'], 'designation': 'Chief Strategy Officer'}, 12: {'first_name': ['Andy'], 'middle_name': [], 'last_name': ['Duff'], 'designation': 'Non-Executive Director'}, 13: {'first_name': ['Sangeeta'], 'middle_name': [], 'last_name': ['Anand'], 'designation': 'Non-Executive Independent Director'}, 14: {'first_name': ['John'], 'middle_name': [], 'last_name': ['Bates'], 'designation': 'Non-Executive Independent Director'}, 15: {'first_name': ['Jonathan'], 'middle_name': [], 'last_name': ['Bewes'], 'designation': 'Non-Executive Independent Director'}, 16: {'first_name': ['Annette'], 'middle_name': ['Elizabeth'], 'last_name': ['Court'], 'designation': 'Non-Executive Independent Director'}, 17: {'first_name': ['Drummond'], 'middle_name': [], 'last_name': ['Hall'], 'designation': 'Senior Independent Non-Executive Director'}, 18: {'first_name': ['Irana'], 'middle_name': [], 'last_name': ['Wasti'], 'designation': 'Non-Executive Independent Director'}}"
17,BURBERRY LIMITED,Burberry Group PLC,"['Horseferry House', 'Horseferry Road, Westminster', 'SW1P 2AW', 'United Kingdom']",['+44.20.34021444'],https://www.burberryplc.com/en/index.html,"['2,343.90']",['521.10'],375.70,"['375.70', '121.70', '339.30']","3,502.20","1,132.30","{0: {'first_name': ['Gerry'], 'middle_name': [], 'last_name': ['Murphy'], 'designation': 'Chairman of the Board'}, 1: {'first_name': ['Marco'], 'middle_name': [], 'last_name': ['Gobbetti'], 'designation': 'Chief Executive Officer, Executive Director'}, 2: {'first_name': ['Julie'], 'middle_name': [], 'last_name': ['Brown'], 'designation': 'Chief Financial Officer, Chief Operating Officer, Executive Director'}, 3: {'first_name': ['Gianluca'], 'middle_name': [], 'last_name': ['Flore'], 'designation': 'President of Americas & Global Retail Excellence'}, 4: {'first_name': ['Marco'], 'middle_name': [], 'last_name': ['Gentile'], 'designation': 'President of Europe, Middle East, India & Africa'}, 5: {'first_name': ['Erica'], 'middle_name': [], 'last_name': ['Bourne'], 'designation': 'Chief People Officer'}, 6: {'first_name': ['Mark'], 'middle_name': [], 'last_name': ['McClennon'], 'designation': 'Chief Information Officer'}, 7: {'first_name': ['Rod'], 'middle_name': [], 'last_name': ['Manley'], 'designation': 'Chief Marketing Officer'}, 8: {'first_name': ['Edward'], 'middle_name': [], 'last_name': ['Rash'], 'designation': 'General Counsel'}, 9: {'first_name': ['Judy'], 'middle_name': [], 'last_name': ['Collinson'], 'designation': 'Chief Merchandising Officer'}, 10: {'first_name': ['Gavin'], 'middle_name': [], 'last_name': ['Haig'], 'designation': 'Chief Commercial Officer'}, 11: {'first_name': ['Jerome'], 'middle_name': ['Le'], 'last_name': ['Bleis'], 'designation': 'Chief Supply Chain Officer'}, 12: {'first_name': ['Antoine'], 'middle_name': ['Bernard', 'de'], 'last_name': ['Saint-Affrique'], 'designation': 'Non-Executive Director'}, 13: {'first_name': ['Fabiola'], 'middle_name': ['R.', 'Arredondo', 'de'], 'last_name': ['Vara'], 'designation': 'Non-Executive Independent Director'}, 14: {'first_name': ['Sam'], 'middle_name': [], 'last_name': ['Fischer'], 'designation': 'Non-Executive Independent Director'}, 15: {'first_name': ['Ronald'], 'middle_name': ['L.'], 'last_name': ['Frasch'], 'designation': 'Non-Executive Independent Director'}, 16: {'first_name': ['Matthew'], 'middle_name': [], 'last_name': ['Key'], 'designation': 'Non-Executive Independent Director'}, 17: {'first_name': ['Debra'], 'middle_name': ['L.'], 'last_name': ['Lee'], 'designation': 'Non-Executive Independent Director'}, 18: {'first_name': ['Dame'], 'middle_name': ['Carolyn', 'J.'], 'last_name': ['McCall'], 'designation': 'Senior Non-Executive Independent Director'}, 19: {'first_name': ['Orna'], 'middle_name': ['G.'], 'last_name': ['NiChionna'], 'designation': 'Non-Executive Independent Director'}}"
18,ROYAL LONDON MANAGEMENT SERVICES LIMITED,Royal London Asset Management,,,,,,,,,,
19,TESCO PLC,Tesco plc,"['Cirrus a, Shire Park, Kestrel Way', 'AL7 1GA', 'United Kingdom']",['+44.1992.632222'],https://www.tescoplc.com,"['57,887.00']","['1,736.00']","6,143.00","['6,143.00', '971.00', '1,270.00']","45,778.00","6,611.00","{0: {'first_name': ['John'], 'middle_name': ['Murray'], 'last_name': ['Allan'], 'designation': 'Non-Executive Chairman of the Board'}, 1: {'first_name': ['Ken'], 'middle_name': [], 'last_name': ['Murphy'], 'designation': 'Group Chief Executive Officer, Executive Director'}, 2: {'first_name': ['Imran'], 'middle_name': [], 'last_name': ['Nawaz'], 'designation': 'Chief Financial Officer'}, 3: {'first_name': ['Alison'], 'middle_name': [], 'last_name': ['Horner'], 'designation': 'Chief Executive Officer - Asia'}, 4: {'first_name': ['Gerry'], 'middle_name': [], 'last_name': ['Mallon'], 'designation': 'Chief Executive - Tesco Bank'}, 5: {'first_name': ['Matthew'], 'middle_name': [], 'last_name': ['Simister'], 'designation': 'Chief Executive Officer, Central Europe'}, 6: {'first_name': ['Jason'], 'middle_name': ['Mark'], 'last_name': ['Tarry'], 'designation': 'Chief Executive Officer - UK & ROI'}, 7: {'first_name': ['Charles'], 'middle_name': ['A.'], 'last_name': ['Wilson'], 'designation': 'Chief Executive Officer - Booker'}, 8: {'first_name': ['Antony'], 'middle_name': [], 'last_name': ['Hoggett'], 'designation': 'Chief Operating Officer'}, 9: {'first_name': ['Adrian'], 'middle_name': ['Charles'], 'last_name': ['Morris'], 'designation': 'Group General Counsel'}, 10: {'first_name': ['Natasha'], 'middle_name': [], 'last_name': ['Adams'], 'designation': 'Chief People Officer'}, 11: {'first_name': ['Alessandra'], 'middle_name': [], 'last_name': ['Bellini'], 'designation': 'Chief Customer Officer'}, 12: {'first_name': ['Christine'], 'middle_name': [], 'last_name': ['Heffernan'], 'designation': 'Group Communications Director'}, 13: {'first_name': ['Andrew'], 'middle_name': [], 'last_name': ['Yaxley'], 'designation': 'Chief Product Officer'}, 14: {'first_name': ['Robert'], 'middle_name': ['John'], 'last_name': ['Welch'], 'designation': 'Group Company Secretary'}, 15: {'first_name': ['Melissa'], 'middle_name': ['W.'], 'last_name': ['Bethell'], 'designation': 'Independent Non-Executive Director'}, 16: {'first_name': ['Bertrand'], 'middle_name': [], 'last_name': ['Bodson'], 'designation': 'Independent Non-Executive Director'}, 17: {'first_name': ['Thierry'], 'middle_name': [], 'last_name': ['Garnier'], 'designation': 'Independent Non-Executive Director'}, 18: {'first_name': ['Stewart'], 'middle_name': ['Charles'], 'last_name': ['Gilliland'], 'designation': 'Independent Non-Executive Director'}, 19: {'first_name': ['Steve'], 'middle_name': [], 'last_name': ['Golsby'], 'designation': 'Independent Non-Executive Director'}, 20: {'first_name': ['Byron'], 'middle_name': ['Elmer'], 'last_name': ['Grote'], 'designation': 'Senior Independent Non-Executive Director'}, 21: {'first_name': ['Simon'], 'middle_name': [], 'last_name': ['Patterson'], 'designation': 'Independent Non-Executive Director'}, 22: {'first_name': ['Alison'], 'middle_name': [], 'last_name': ['Platt'], 'designation': 'Independent Non-Executive Director'}, 23: {'first_name': ['Lindsey'], 'middle_name': [], 'last_name': ['Pownall'], 'designation': 'Independent Non-Executive Director'}}"
20,VODAFONE GROUP PUBLIC LIMITED COMPANY,Vodafone Group plc,"['Vodafone House, The Connection', 'RG14 2FN', 'United Kingdom']",['+44.1635.33251'],https://www.vodafone.com/,"['43,809.00']","['5,097.00']",112.00,"['112.00', '(920.00)', '(8,020.00)']","155,063.00","(121,587.00)","{0: {'first_name': ['Gerard'], 'middle_name': ['J.'], 'last_name': ['Kleisterlee'], 'designation': 'Non-Executive Independent Chairman of the Board'}, 1: {'first_name': ['Nicholas'], 'middle_name': ['Jonathan'], 'last_name': ['Read'], 'designation': 'Chief Executive, Executive Director'}, 2: {'first_name': ['Margherita'], 'middle_name': ['Della'], 'last_name': ['Valle'], 'designation': 'Chief Financial Officer, Executive Director'}, 3: {'first_name': ['Hannes'], 'middle_name': [], 'last_name': ['Ametsreiter'], 'designation': 'Chief Executive Officer – Vodafone Germany'}, 4: {'first_name': ['Vivek'], 'middle_name': [], 'last_name': ['Badrinath'], 'designation': 'Chief Executive Officer - European TowerCo'}, 5: {'first_name': ['Aldo'], 'middle_name': [], 'last_name': ['Bisio'], 'designation': 'Chief Executive Officer – Vodafone Italy'}, 6: {'first_name': ['Ahmed'], 'middle_name': [], 'last_name': ['Essam'], 'designation': 'Chief Executive of Vodafone UK'}, 7: {'first_name': ['Shameel'], 'middle_name': [], 'last_name': ['Joosub'], 'designation': 'Chief Executive Officer – Vodacom Group'}, 8: {'first_name': ['Vinod'], 'middle_name': [], 'last_name': ['Kumar'], 'designation': 'Chief Executive Officer - Vodafone Business'}, 9: {'first_name': ['Serpil'], 'middle_name': [], 'last_name': ['Timuray'], 'designation': 'Chief Executive Officer – Europe Cluster'}, 10: {'first_name': ['Leanne'], 'middle_name': [], 'last_name': ['Wood'], 'designation': 'Chief Human Resource Officer'}, 11: {'first_name': ['Johan'], 'middle_name': [], 'last_name': ['Wibergh'], 'designation': 'Group Technology Officer'}, 12: {'first_name': ['Rosemary'], 'middle_name': ['E.', 'S.'], 'last_name': ['Martin'], 'designation': 'Group General Counsel, Company Secretary'}, 13: {'first_name': ['Alex'], 'middle_name': [], 'last_name': ['Froment-Curtil'], 'designation': 'Group Chief Commercial Officer'}, 14: {'first_name': ['Joakim'], 'middle_name': [], 'last_name': ['Reiter'], 'designation': 'Group External Affairs Director'}, 15: {'first_name': ['Sanjiv'], 'middle_name': [], 'last_name': ['Ahuja'], 'designation': 'Non-Executive Independent Director'}, 16: {'first_name': ['Crispin'], 'middle_name': ['Henry'], 'last_name': ['Davis'], 'designation': 'Non-Executive Independent Director'}, 17: {'first_name': ['Michel'], 'middle_name': [], 'last_name': ['Demare'], 'designation': 'Non-Executive Independent Director'}, 18: {'first_name': ['Dame'], 'middle_name': ['Clara', 'H.F'], 'last_name': ['Furse'], 'designation': 'Non-Executive Independent Director'}, 19: {'first_name': ['Valerie'], 'middle_name': ['Frances'], 'last_name': ['Gooding'], 'designation': 'Senior Non-Executive Independent Director and Workforce Engagement Lead'}, 20: {'first_name': ['Renee'], 'middle_name': ['J.'], 'last_name': ['James'], 'designation': 'Non-Executive Independent Director'}, 21: {'first_name': ['Maria'], 'middle_name': ['Amparo', 'Moraleda'], 'last_name': ['Martinez'], 'designation': 'Non-Executive Independent Director'}, 22: {'first_name': ['David'], 'middle_name': ['T.'], 'last_name': ['Nish'], 'designation': 'Non-Executive Independent Director'}}"
21,J SAINSBURY PLC,J Sainsbury plc,"['33 Holborn', 'EC1N 2HT', 'United Kingdom']",['+44.20.76956000'],https://www.about.sainsburys.co.uk/,"['29,048.00']",['79.00'],(280.00),"['(280.00)', '152.00', '186.00']","25,162.00","4,546.00","{0: {'first_name': ['Martin'], 'middle_name': ['Anthony'], 'last_name': ['Scicluna'], 'designation': 'Non-Executive Chairman of the Board'}, 1: {'first_name': ['Simon'], 'middle_name': ['John'], 'last_name': ['Roberts'], 'designation': 'Chief Executive Officer, Director'}, 2: {'first_name': ['Kevin'], 'middle_name': [], 'last_name': [""O'Byrne""], 'designation': 'Chief Financial Officer, Director'}, 3: {'first_name': ['James'], 'middle_name': [], 'last_name': ['Brown'], 'designation': 'Chief Executive Officer - Sainsbury’s Bank'}, 4: {'first_name': ['Phil'], 'middle_name': [], 'last_name': ['Jordan'], 'designation': 'Group Chief Information Officer'}, 5: {'first_name': ['Angie'], 'middle_name': [], 'last_name': ['Risley'], 'designation': 'Group Human Resources Director'}, 6: {'first_name': ['Paul'], 'middle_name': [], 'last_name': ['Mills-Hicks'], 'designation': 'Food Commercial Director'}, 7: {'first_name': ['Clodagh'], 'middle_name': [], 'last_name': ['Moriarty'], 'designation': 'Group Chief Digital Officer'}, 8: {'first_name': ['Tim'], 'middle_name': [], 'last_name': ['Fallowfield'], 'designation': 'Company Secretary, Corporate Services Director'}, 9: {'first_name': ['Adrian'], 'middle_name': ['Nevil'], 'last_name': ['Hennah'], 'designation': 'Non-Executive Director'}, 10: {'first_name': ['Tanuj'], 'middle_name': [], 'last_name': ['Kapilashrami'], 'designation': 'Non-Executive Director'}, 11: {'first_name': ['Keith'], 'middle_name': [], 'last_name': ['Weed'], 'designation': 'Non-Executive Director'}, 12: {'first_name': ['Brian'], 'middle_name': [], 'last_name': ['Cassin'], 'designation': 'Non-Executive Independent Director'}, 13: {'first_name': ['Jo'], 'middle_name': [], 'last_name': ['Harlow'], 'designation': 'Non-Executive Independent Director'}, 14: {'first_name': ['David'], 'middle_name': ['W.'], 'last_name': ['Keens'], 'designation': 'Non-Executive Independent Director'}, 15: {'first_name': ['Dame'], 'middle_name': ['Susan'], 'last_name': ['Rice'], 'designation': 'Senior Non-Executive Independent Director'}}"
22,BARCLAYS BANK UK PLC,Barclays plc,"['Canary Wharf, 1 Churchill Place', 'E14 5HP', 'United Kingdom']",['+44.20.31340952'],https://www.home.barclays/,[],[],"2,383.00","['2,383.00', '3,274.00', '2,349.00']","1,349,514.00","45,537.00","{0: {'first_name': ['Nigel'], 'middle_name': [], 'last_name': ['Higgins'], 'designation': 'Group Chairman of the Board'}, 1: {'first_name': ['James'], 'middle_name': ['E.'], 'last_name': ['Staley'], 'designation': 'Group Chief Executive, Executive Director'}, 2: {'first_name': ['Tushar'], 'middle_name': [], 'last_name': ['Morzaria'], 'designation': 'Group Finance Director, Executive Director'}, 3: {'first_name': ['Paul'], 'middle_name': ['H.'], 'last_name': ['Compton'], 'designation': 'Global Head of Banking and Co-President of Barclays Bank PLC'}, 4: {'first_name': ['Matt'], 'middle_name': [], 'last_name': ['Hammerstein'], 'designation': 'Chief Executive officer - Barclays UK'}, 5: {'first_name': ['Ashok'], 'middle_name': ['V.'], 'last_name': ['Vaswani'], 'designation': 'Chief Executive Officer - Consumer Banking & Payments'}, 6: {'first_name': ['C.S.'], 'middle_name': [], 'last_name': ['Venkatakrishnan'], 'designation': 'Global Head of Markets and Co-President of Barclays Bank PLC'}, 7: {'first_name': ['Mark'], 'middle_name': ['Ashton'], 'last_name': ['Rigby'], 'designation': 'Group Chief Operating Officer'}, 8: {'first_name': ['Laura'], 'middle_name': [], 'last_name': ['Padovani'], 'designation': 'Group Chief Compliance Officer'}, 9: {'first_name': ['Taalib'], 'middle_name': [], 'last_name': ['Shah'], 'designation': 'Group Chief Risk Officer'}, 10: {'first_name': ['Stephen'], 'middle_name': [], 'last_name': ['Shapiro'], 'designation': 'Group General Counsel, Group Company Secretary'}, 11: {'first_name': ['Tristram'], 'middle_name': [], 'last_name': ['Roberts'], 'designation': 'Group Human Resources Director'}, 12: {'first_name': ['Alistair'], 'middle_name': [], 'last_name': ['Currie'], 'designation': 'Head of Corporate Banking'}, 13: {'first_name': ['Stephen'], 'middle_name': [], 'last_name': ['Dainton'], 'designation': 'Global Head of Markets'}, 14: {'first_name': ['Sasha'], 'middle_name': [], 'last_name': ['Wiggins'], 'designation': 'Group Head of Public Policy & Corporate Responsibility'}, 15: {'first_name': ['Michael'], 'middle_name': [], 'last_name': ['Ashley'], 'designation': 'Non-Executive Independent Director'}, 16: {'first_name': ['Timothy'], 'middle_name': ['J.'], 'last_name': ['Breedon'], 'designation': 'Non-Executive Independent Director'}, 17: {'first_name': ['Mohamed'], 'middle_name': ['A.'], 'last_name': ['El-Erian'], 'designation': 'Non-Executive Independent Director'}, 18: {'first_name': ['Dawn'], 'middle_name': [], 'last_name': ['Fitzpatrick'], 'designation': 'Non-Executive Independent Director'}, 19: {'first_name': ['Mary'], 'middle_name': ['E.'], 'last_name': ['Francis'], 'designation': 'Non-Executive Independent Director'}, 20: {'first_name': ['Crawford'], 'middle_name': [], 'last_name': ['Gillies'], 'designation': 'Non-Executive Independent Director'}, 21: {'first_name': ['Brian'], 'middle_name': [], 'last_name': ['Gilvary'], 'designation': 'Senior Non-Executive Independent Director'}, 22: {'first_name': ['Diane'], 'middle_name': ['Lynn'], 'last_name': ['Schueneman'], 'designation': 'Non-Executive Independent Director'}}"
23,ASTRAZENECA PLC,AstraZeneca plc,"['1 Francis Crick Avenue', 'CB2 0AA', 'United Kingdom']",['+44.20.73045000'],https://www.astrazeneca.com/Home,"['26,617.00']","['5,162.00']","3,196.00","['3,196.00', '1,335.00', '2,155.00']","66,729.00","7,323.00","{0: {'first_name': ['Leif'], 'middle_name': [], 'last_name': ['Johansson'], 'designation': 'Independent Non-Executive Chairman of the Board'}, 1: {'first_name': ['Pascal'], 'middle_name': [], 'last_name': ['Soriot'], 'designation': 'Chief Executive Officer, Executive Director'}, 2: {'first_name': ['Marc'], 'middle_name': [], 'last_name': ['Dunoyer'], 'designation': 'Chief Financial Officer, Executive Director'}, 3: {'first_name': ['Jeffrey'], 'middle_name': ['A.'], 'last_name': ['Pott'], 'designation': 'Chief Human Resource Officer, General Counsel'}, 4: {'first_name': ['Katarina'], 'middle_name': [], 'last_name': ['Ageborg'], 'designation': 'Executive Vice President - Sustainability, Chief Compliance Officer'}, 5: {'first_name': ['Jose'], 'middle_name': [], 'last_name': ['Baselga'], 'designation': 'Executive Vice President - Research & Development Oncology'}, 6: {'first_name': ['Pam'], 'middle_name': ['P.'], 'last_name': ['Cheng'], 'designation': 'Executive Vice President - Operations and Information Technology'}, 7: {'first_name': ['Ruud'], 'middle_name': [], 'last_name': ['Dobber'], 'designation': 'Executive Vice President - BioPharmaceuticals Business'}, 8: {'first_name': ['David'], 'middle_name': [], 'last_name': ['Fredrickson'], 'designation': 'Executive Vice President - Oncology Business'}, 9: {'first_name': ['Menelas'], 'middle_name': [], 'last_name': ['Pangalos'], 'designation': 'Executive Vice President - Research & Development BioPharmaceuticals'}, 10: {'first_name': ['Iskra'], 'middle_name': [], 'last_name': ['Reic'], 'designation': 'Executive Vice President - Europe and Canada'}, 11: {'first_name': ['Leon'], 'middle_name': [], 'last_name': ['Wang'], 'designation': 'Executive Vice President - International and China President'}, 12: {'first_name': ['Adrian'], 'middle_name': ['C.', 'N.'], 'last_name': ['Kemp'], 'designation': 'Company Secretary'}, 13: {'first_name': ['Euan'], 'middle_name': [], 'last_name': ['Ashley'], 'designation': 'Non-Executive Director'}, 14: {'first_name': ['Diana'], 'middle_name': [], 'last_name': ['Layfield'], 'designation': 'Non-Executive Director'}, 15: {'first_name': ['Tony'], 'middle_name': ['S.', 'K.'], 'last_name': ['Mok'], 'designation': 'Non-Executive Director'}, 16: {'first_name': ['Marcus'], 'middle_name': [], 'last_name': ['Wallenberg'], 'designation': 'Non-Executive Director'}, 17: {'first_name': ['Philip'], 'middle_name': [], 'last_name': ['Broadley'], 'designation': 'Senior Non-Executive Independent Director'}, 18: {'first_name': ['Michel'], 'middle_name': [], 'last_name': ['Demare'], 'designation': 'Non-Executive Independent Director'}, 19: {'first_name': ['Deborah'], 'middle_name': ['DiSanzo'], 'last_name': ['Eldracher'], 'designation': 'Non-Executive Independent Director'}, 20: {'first_name': ['Sherilyn'], 'middle_name': ['S.'], 'last_name': ['McCoy'], 'designation': 'Non-Executive Independent Director'}, 21: {'first_name': ['Nazneen'], 'middle_name': [], 'last_name': ['Rahman'], 'designation': 'Non-Executive Independent Director'}}"
24,DS SMITH PACKAGING LIMITED,DS Smith plc,"['7th Fl, Regents Place, 350 Euston Road', 'NW1 3AX', 'United Kingdom']",['+44.20.77561800'],http://www.dssmith.com,"['6,043.00']",['448.00'],527.00,"['527.00', '274.00', '259.00']","8,625.00","1,003.00","{0: {'first_name': ['Geoffrey'], 'middle_name': [], 'last_name': ['Drabble'], 'designation': 'Chairman of the Board'}, 1: {'first_name': ['Miles'], 'middle_name': ['W.'], 'last_name': ['Roberts'], 'designation': 'Group Chief Executive, Executive Director'}, 2: {'first_name': ['Adrian'], 'middle_name': ['Ross', 'Thomas'], 'last_name': ['Marsh'], 'designation': 'Group Finance Director, Executive Director'}, 3: {'first_name': ['Iain'], 'middle_name': [], 'last_name': ['Simm'], 'designation': 'Group General Counsel, Company Secretary'}, 4: {'first_name': ['Celia'], 'middle_name': ['Frances'], 'last_name': ['Baxter'], 'designation': 'Non-Executive Independent Director'}, 5: {'first_name': ['Alina'], 'middle_name': [], 'last_name': ['Kessel'], 'designation': 'Non-Executive Independent Director'}, 6: {'first_name': ['David'], 'middle_name': [], 'last_name': ['Robbie'], 'designation': 'Non-Executive Independent Director'}, 7: {'first_name': ['Louise'], 'middle_name': [], 'last_name': ['Smalley'], 'designation': 'Non-Executive Independent Director'}, 8: {'first_name': ['Rupert'], 'middle_name': ['Christopher'], 'last_name': ['Soames'], 'designation': 'Senior Non-Executive Independent Director'}}"
